ANO,RA,IDADE,GENERO,ANO_INGRESSO,FASE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,ATINGIU_PV,INDE,PEDRA,DEFASAGEM
2024,RA-1275,8,Masculino,2024,ALFA,10.0,8.0,8.6666666665,10.002,6.26,5.625,5.446666667,,7.611366666700001,Ametista,0
2024,RA-1276,8,Feminino,2024,ALFA,10.0,8.0,9.3333333335,10.002,3.76,7.5,7.05,,8.002866666700001,Topázio,0
2024,RA-1277,8,Masculino,2024,ALFA,10.0,8.0,9.0833333335,10.002,3.76,7.5,7.046666667,,7.952200000100001,Ametista,0
2024,RA-868,8,Masculino,2023,ALFA,5.0,7.0,9.75,8.002,3.76,6.875,7.213333333,,7.156366666600001,Ametista,-1
2024,RA-1278,9,Masculino,2024,ALFA,5.0,7.5,4.1666666665,9.002,3.76,5.0,4.173333333,,5.444199999900001,Quartzo,-1
2024,RA-1279,9,Feminino,2024,ALFA,5.0,8.25,10.0,10.002,6.26,7.5,7.78,,8.0822,Topázio,-1
2024,RA-861,9,Feminino,2023,ALFA,5.0,10.0,10.0,9.502,7.51,8.125,9.73,,8.959700000000002,Topázio,-1
2024,RA-862,10,Masculino,2023,ALFA,5.0,7.5,8.6136363635,9.002,7.51,7.1875,6.27,,7.346677272700001,Ametista,-2
2024,RA-1280,9,Masculino,2024,ALFA,5.0,8.5,9.5454545455,10.002,6.26,7.5,8.336666667,,8.152624242500002,Topázio,-1
2024,RA-1281,9,Feminino,2024,ALFA,5.0,9.25,9.5454545455,7.918,6.26,7.5,7.78,,7.982890909100001,Ametista,-1
2024,RA-895,9,Feminino,2023,ALFA,5.0,9.5,9.5454545455,9.502,6.26,7.5,8.113333333,,8.2579575757,Topázio,-1
2024,RA-884,8,Feminino,2023,ALFA,5.0,8.75,8.818181818,10.002,6.26,7.5,8.223333333,,8.0345030302,Topázio,-1
2024,RA-1282,9,Feminino,2024,ALFA,5.0,9.25,8.1136363635,9.502,6.26,7.5,7.89,,7.8769272727000015,Ametista,-1
2024,RA-889,9,Masculino,2023,ALFA,5.0,9.75,9.2954545455,8.502,6.26,7.5,8.28,,8.191290909100001,Topázio,-1
2024,RA-867,9,Masculino,2023,ALFA,5.0,8.5,7.409090909,9.002,7.51,7.5,7.5,,7.583018181800001,Ametista,-1
2024,RA-1283,10,Masculino,2024,ALFA,5.0,9.0,9.230769231,10.002,7.51,7.5,8.28,,8.3033538462,Topázio,-2
2024,RA-891,10,Feminino,2023,ALFA,5.0,8.75,9.0454545455,10.002,6.26,7.5,8.003333333,,8.035957575700001,Topázio,-1
2024,RA-1284,8,Feminino,2024,ALFA,10.0,10.0,9.347826087,9.002,2.51,7.8125,7.89,,8.3800152174,Topázio,0
2024,RA-1012,9,Feminino,2023,ALFA,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,,8.057128571400002,Topázio,-1
2024,RA-1285,7,Feminino,2024,ALFA,10.0,8.0,8.830227742999998,10.002,2.51,7.5,8.946666667,,8.156578882000002,Topázio,0
2024,RA-1286,7,Masculino,2024,ALFA,10.0,7.0,5.051759834,8.002,2.51,5.3125,4.61,,5.914801966800001,Quartzo,0
2024,RA-1287,8,Feminino,2024,ALFA,5.0,7.75,9.3064182195,10.002,2.51,8.125,8.223333333,,7.619650310500001,Ametista,-1
2024,RA-1288,7,Feminino,2024,ALFA,10.0,10.0,7.9813664595,9.002,2.51,7.1875,7.273333333,,7.9208899585,Ametista,0
2024,RA-1289,10,Feminino,2024,ALFA,5.0,7.75,9.4444444445,7.002,7.51,5.9375,6.166666667,,7.2171722223,Ametista,-1
